id,name,city,address,phones,website,vk,ok,instagram,telegram,email,whatsapp,notes,status
CMP0016,Православное похоронное бюро,Ставрополь,"ул. Голенева, 67в",,krest-hram.ru,https://vk.com/kresthramstav,,,,"mail@krest-hram.ru",,,"OK; При Крестовоздвиженском храме"
CMP0017,Мавзолей,Ставрополь,"пер. Буйнакского, 2/3","+7 (928) 321-27-27",mavzoley.com,,,,,info@mavzoley.com,,,OK
CMP0018,Ритуальные услуги,Ставрополь,"ул. Тельмана, 230а","+7 (8652) 93-59-32",zoon.ru/stavropol/ritual/salon_ritualnyh_uslug_na_ulitse_telmana,,,,,,,"2 филиала","НАЙДЕН на zoon.ru; +телефон"
CMP0019,Ритуальная Служба,Ставрополь,"ул. Доваторцев, 44Б","+7 (8652) 94-47-77",stavropol.rf200.ru,,,,https://t.me/StavKost,info@rf200.ru,https://wa.me/78652944777,,OK
CMP0022,Данила-Мастер,Пятигорск,,"+7 (902) 220-20-52, 8 (800) 100-13-39",danila-master.ru,https://vk.com/danila_pamyatniki,,,https://t.me/+79022202052,"info@danila-master.ru, mail@danila-master.ru",,Гранитная мастерская,OK
CMP0023,Пятигорский комбинат спецобслуживания,Пятигорск,"ул. Украинская, 60","+7 (961) 481-99-99, +7 (8793) 39-69-78, +7 (928) 350-59-48",xn--26-6kc5aq1api.xn--p1ai,,,,,,,"Филиалы: Ессентукская 29, просп. Калинина 2к2, Лермонтовский разъезд 7Б/2",OK
CMP0024,Кавказская мемориальная компания,Пятигорск,"ул. Акопянца, 11","+7 (988) 106-02-16, +7 (928) 013-14-91",ritualkavkaz.ru,,,,,,,"Также филиал: Университетская ул., 1А",OK
CMP0025,Небесный ангел,Пятигорск,"просп. Калинина, 117а","+7 (938) 888-82-42",nebo26.ru,,,,instagram.com/ritualnye_uslugi_ptg,,,,"НАЙДЕН - сайт работает! +телефон; +instagram"
CMP0026,Память,Пятигорск,"ул. Пирогова, 17","+7 (918) 740-51-60, +7 (928) 355-58-06",memory-kmv.ru,,,,https://t.me/+79187405160,,https://wa.me/79187405160,,OK
CMP0027,ПроМонумент,Пятигорск,"Ессентукская ул., 29",,pro-monument.ru,,,,,,,,"OK"
CMP0028,РСБ,Пятигорск,"Суворовский пр., 1",,gravescare.com,,,,,,,,"OK"
CMP0029,ЮгГранит,Пятигорск,"Ставропольская ул., 70",,yuggranit.ru,,,,,granit.kmv@mail.ru,,,OK
CMP0030,ЮгМрамор,Пятигорск,"Ессентукская ул., 29а","+7 (938) 346-33-33",2gis.ru/pyatigorsk/firm/70000001027689643,,,,,imperiakamnia3333@mail.ru,,,"НАЙДЕН на 2gis; адрес уточнён"
CMP0032,Стелла,Пятигорск,"ул. Ермолова, 22","+7 (963) 388-44-22",zoon.ru/stavropol/ritual/kompaniya_po_prodazhe_pamyatnikov_stella,,,,,,,,"НАЙДЕН на zoon.ru; +телефон"
CMP0033,Карат,Кисловодск,"Седлогорская ул., 144","+7 (962) 007-09-90, +7 (928) 812-77-44",ritual-karat.ru,https://vk.com/ritualkarat,https://ok.ru/k.ritualnayasluzhba,,https://t.me/ritualkarat,,https://wa.me/+79620070990,,OK
CMP0034,Ангел,Кисловодск,"Седлогорская ул., 155а",,angel-kislovodsk.ru,,,,,,,https://wa.me/79188854787,OK
CMP0035,Комбинат спецобслуживания,Кисловодск,"ул. Фоменко, 135г","+7 (87937) 5-92-92, +7 (928) 370-70-27",kso-kislovodsk.ru,,,,,,,,"OK"
CMP0036,Память,Кисловодск,"ул. Фоменко, 135Ж, стр. 1","+7 (928) 367-06-42",pamyat-pokhoronnoe-byuro.orgs.biz,,,,,,,,"OK"
CMP0037,Последний путь,Кисловодск,"Азербайджанская ул., 68А","+7 (918) 767-67-12",ritualnie-uslugi26.ru,,,,,,,https://wa.me/79187676712,OK
CMP0038,Обелиск,Кисловодск,"Красивая ул., 6",,xn--90aijidpz.xn--90ais,,,,,,,,"OK"
CMP0039,Стикс-П,Владивосток,,,stix-p.ru,,,,,stiks-p@yandex.ru,,,"ДАННЫЕ С САЙТА: Владивосток и Приморский край (НЕ Кисловодск!)"
CMP0040,Похоронный дом,Кисловодск,"ул. Фоменко, 134",,kso-kislovodsk.ru,,,,,,,,"OK (тот же сайт CMP0035)"
CMP0041,Ритуальные услуги ИП Липиева Т. В.,Кисловодск,"ул. Фоменко, 134",,ritualnye-uslugi-lipieva.blizko.ru,,,,,,,,"OK"
CMP0042,Империя камней,Кисловодск,"Седлогорская ул., 144, стр. 2","+7 (928) 013-50-13",imperiya-kamney-torgovaya.orgs.biz,,,,,,,,"OK"
CMP0043,Салон надгробий и памятников,Кисловодск,"Красивая ул., 6",,kislovodsk.spravker.ru/pamyatniki-i-nadgrobiya,,,,,,,,"OK (справочник)"
CMP0044,Сострадание,Кисловодск,"ул. Фоменко, 135Ж",,kso-kislovodsk.ru,,,,,,,,"OK (тот же сайт CMP0035)"
CMP0045,Салон ритуальных услуг,Ессентуки,"Пятигорская ул., 188","+7 (928) 341-73-81",ritual-26.ru,,,,,,,,"OK"
CMP0046,Акрополь,Архангельск,,+7 (921) 243-04-41,akropol29.ru,,,https://t.me/+79212430441,menager@akropol29.ru,,,"ДАННЫЕ С САЙТА: Архангельск (НЕ Ессентуки!)"
CMP0047,Мемориал Сервис 26,Ессентуки,"Кисловодская ул., 119",,memorial-servis-26.orgs.biz,,,,,,,,"OK"
CMP0049,Ритуал,Ессентуки,"ул. Володарского, 55","+7 (87934) 6-64-07, +7 (87934) 6-74-29",2gis.ru/essentuki/firm/12526164744608271,,,,,,,"2 филиала","НАЙДЕН на 2gis; +телефоны"
CMP0050,Стикс,Алматы (Казахстан),,stiks2005.wixsite.com/stiks,,,,,,,"ДАННЫЕ С САЙТА: Алматы (Казахстан)"
CMP0051,Ритуальные услуги,Ессентуки,Большевистская улица,,ritual-26.ru,,,,,,,,"OK (тот же сайт CMP0045)"
CMP0052,Ритуальные услуги,Ессентуки,"ул. Луначарского, 66А",,essentuki.spravker.ru/ritualnyie-prinadlezhnosti/ritualnye-uslugi.htm,,,,,,,,"OK (справочник)"
CMP0053,Стикс,Алматы (Казахстан),,stiks2005.wixsite.com/stiks,,,,,,,"ДАННЫЕ С САЙТА: Алматы (Казахстан)"
CMP0054,Две свечи,Ессентуки,"ул. Мичурина, 84, ст-ца Ессентукская","+7 (928) 817-26-46, +7 (928) 326-36-88",dvesvechi-kmv.ru,,,,"dvesvechi26@yandex.ru",,,"Предгорный район",OK
CMP0056,Ритуал,Минеральные Воды,"Кисловодская ул., 59",+7 (928) 348-93-30,mv-ritual.ru,,,,,,https://wa.me/79283489330,"Филиалы: ул. 50 лет Октября 101, ул. Аэропорта 3, Зелёная ул. 1 (пос. Ленинский)",OK
CMP0057,МБУ Ритуал,Минеральные Воды,"ул. 50 лет Октября, 142","+7 (800) 707-75-11, +7 (8652) 97-74-70",minvody.gsritual.info,,,,,info@gsritual.info,,,OK
CMP0059,Салон ритуальных услуг,Минеральные Воды,"ул. Островского, 89",,mv-ritual.ru,,,,,,,,Гранитная мастерская,OK
CMP0061,Ритуальные услуги,Минеральные Воды,"ул. 50 лет Октября, 115","+7 (995) 377-55-36",mineralnye-vody.ritual-doverie.com,,,,https://t.me/+79953775536,,https://wa.me/79953775536,,OK
CMP0062,Ритуальные услуги,Минеральные Воды,"Цветочная ул., 1А, пос. Ленинский",,mineralnye-vody.ritual-doverie.com,,,,,,,,"OK (тот же сайт CMP0061)"
CMP0063,Ритуальные услуги,Минеральные Воды,"Зелёная ул., 2, пос. Ленинский",,mineralnye-vody.ritual-doverie.com,,,,,,,,"OK (тот же сайт CMP0061)"
