id,name,city,address,phones,website,vk,ok,instagram,telegram,email,whatsapp,notes,status
CMP0027,ПроМонумент,Пятигорск,"Ессентукская ул., 29",7 938 335 22 50,pro-monument.ru,,,,,,,,OK
CMP0028,РСБ,Пятигорск,"Суворовский пр., 1",,gravescare.com,,,,https://t.me/managergravescare,,,,OK
CMP0029,ЮгГранит,Пятигорск,"Ставропольская ул., 70",,yuggranit.ru,,,,,granit.kmv@mail.ru,,,OK
CMP0030,ЮгМрамор,Пятигорск,"Ессентукская ул., 29а",+7 (938) 346-33-33,2gis.ru/pyatigorsk/firm/70000001027689643,,,,,imperiakamnia3333@mail.ru,https://wa.me/7928955159,,НАЙДЕН на 2gis; адрес уточнён
CMP0032,Стелла,Пятигорск,"ул. Ермолова, 22",+7 (963) 388-44-22,zoon.ru/stavropol/ritual/kompaniya_po_prodazhe_pamyatnikov_stella,,,,,,https://wa.me/79633884422,,НАЙДЕН на zoon.ru; +телефон
CMP0033,Карат,Кисловодск,"Седлогорская ул., 144","+7 (962) 007-09-90, +7 (928) 812-77-44",ritual-karat.ru,https://vk.com/ritualkarat,https://ok.ru/k.ritualnayasluzhba,,https://t.me/ritualkarat,,https://wa.me/+79620070990,,OK
CMP0037,Последний путь,Кисловодск,"Азербайджанская ул., 68А",+7 (918) 767-67-12,ritualnie-uslugi26.ru,,,,,,https://wa.me/79187676712,,OK
CMP0042,Империя камней,Кисловодск,"Седлогорская ул., 144, стр. 2",+7 (928) 013-50-13,imperiya-kamney-torgovaya.orgs.biz,,,,,,,,OK
CMP0046,Акрополь,Архангельск,,+7 (921) 243-04-41,akropol29.ru,,,,https://t.me/+79212430441,menager@akropol29.ru,,ДАННЫЕ С САЙТА: Архангельск (НЕ Ессентуки!),
CMP0054,Две свечи,Ессентуки,"ул. Мичурина, 84, ст-ца Ессентукская","+7 (928) 817-26-46, +7 (928) 326-36-88",dvesvechi-kmv.ru,,,,,dvesvechi26@yandex.ru,,Предгорный район,OK
CMP0056,Ритуал,Минеральные Воды,"Кисловодская ул., 59",+7 (928) 348-93-30,mv-ritual.ru,,,,,,https://wa.me/79283489330,"Филиалы: ул. 50 лет Октября 101, ул. Аэропорта 3, Зелёная ул. 1 (пос. Ленинский)",OK
CMP0057,МБУ Ритуал,Минеральные Воды,"ул. 50 лет Октября, 142","+7 (800) 707-75-11, +7 (8652) 97-74-70",minvody.gsritual.info,,,,,info@gsritual.info,,,OK
CMP0061,Ритуальные услуги,Минеральные Воды,"ул. 50 лет Октября, 115",+7 (995) 377-55-36,mineralnye-vody.ritual-doverie.com,,,,https://t.me/+79953775536,,https://wa.me/79953775536,,OK
CMP0064,Ритуальный Салон,Ставрополь,"ул. Октябрьская, 184 к9",+7 (962) 029-59-55,,,,,,,,ИП Стельмах П.А.,OK
