ID,Название,Город,Телефон,Email,Сайт,Адрес,VK,Telegram,WhatsApp,Статус
CMP0025,Evlitos,Волгодонск,+7 (903) 955-81-17,227298@mail.ru,https://volgodonsk.evlitos.ru,"ул. Гагарина, 1",,,https://wa.me/79039558117,active
CMP0026,Памятники Доверие,Волгодонск,"+7 (989) 724-30-79, +7 (989) 612-94-79",,https://pamjatniki-doverie.clients.site,"Морская, 64",https://vk.com/pamyatniki_doverie_vd,https://t.me/pamyatniki_doverie_vd,,active
CMP0027,Ритуал Сервис,Волгодонск,"+7 (928) 172-82-03, +7 (928) 116-40-83",ritualservisvolgodonsk@yandex.ru,https://ритуал-сервис-волгодонск.рф,"Октябрьское шоссе, 12Л",,,,active
CMP0031,Ритуальные услуги Феникс,Гуково,"+7 (960) 443-22-00, +7 (928) 279-97-93",,,"ул. Красная Горка, 2",,,,inactive
CMP0032,Granite161,Донецк,"+7 (901) 000-10-19, +7 (928) 609-27-11",pamytnik-doneck@mail.ru,https://granite161.ru,"пр-т. Ленина, 33",,,,active
CMP0033,X-granit,Донецк,+7 (952) 580-13-35,info@x-granit.ru,https://x-granit.ru,"ул. Суворова, 1",https://t.me/Psiholirik_161,https://wa.me/79525801335,active
CMP0034,ИП Бенделиани Н.Г.,Донецк (РО),"+7 (928) 141-57-22, +7 (928) 611-10-54, +7 (961) 269-69-27",info@pamyatnik-doneck.ru,https://pamyatnik-doneck.ru,"пер. 3-ий Аварийный, 6Б",,,,active
CMP0035,Гранит (мастерская),Донецк (РО),"+7 (928) 141-57-22, +7 (961) 269-69-27",info@pamyatnik-doneck.ru,https://pamyatnik-doneck.ru/contacts,(уточнить),,,,active
CMP0036,"Гранит (магазин памятников, Тимирязева)",Донецк,+7 (928) 765-00-00,kumachev94@mail.ru,https://кумачев94.рф,"ул. Тимирязева, 11",,,,active
CMP0037,Гранит-Экспорт,Донецк (РО),"+7 (863) 682-71-14, +7 (903) 435-66-22, +7 (918) 523-46-22, +7 (918) 585-03-22",granit-export@mail.ru,https://granit-export.ru,"ул. Тимирязева, 25А",,,,active
CMP0038,ГранитДонецк,Донецк,"+7 (928) 765-59-66, +7 (928) 750-78-60",donetsk.vyacheslav.granit@yandex.ru,https://granitdonetsk.ru,"Украинское шоссе, 25В",,,,active
CMP0039,Гранитная мастерская (Цех),Донецк (РО),"+7 (86368) 2-19-94, +7 (928) 626-11-01",tania054@mail.ru,https://pamyatnik-doneck.ru/contacts,"просп. Ленина, 47А",,,,active
CMP0040,Гранитная мастерская Ольги,Донецк,+7 (928) 139-23-39,donstiks@mail.ru,https://гранитная-мастерская.рф,"ул. Тимирязева, 41",,,https://wa.me/79281392339,active
CMP0041,Гранитный цех Кумачёва,Донецк (РО),"+7 (863) 682-79-90, +7 (928) 765-24-95",kumachev94@mail.ru,https://xn--94-6kcio2ao9cxb.xn--p1ai,"ул. Тимирязева, 11",,,,active
CMP0043,Диабаздон,Донецк (РО),+7 (928) 761-00-90,,http://diabazdon.ru,"просп. Ленина, 31В",,,https://wa.me/79287610090,active
CMP0044,Дон-Гранит,Донецк (РО),"+7 (928) 120-51-11, +7 (928) 120-81-11",dmitry.donetsk@yandex.ru,https://don-granite.ru,"ул. Каменская, 77",,,,active
CMP0046,Мастер-Монумент,Донецк (РО),+7 (900) 130-34-97,lena.pikulya@mail.ru,https://master-monument.ru,(уточнить),,,,active
CMP0048,Панасенко А.Е. (Памятники и надгробные комплексы),Донецк,+7 (996) 610-63-51,panasenko-1971@mail.ru,https://panasenko-don.ru,"2-й Аварийный переулок, 10",,,https://wa.me/79966106351,active
CMP0049,Юг Гранит,Донецк (РО),+7 (928) 409-44-44,,https://yug-granit.ru,"ул. Урицкого, 7",https://vk.com/club177378914,,,active
CMP0051,TsarGranit (Зерноград),Зерноград,+7 (800) 456-20-97,,https://tsargranit.ru/zernograd.html,"ул. Центральная, 4",,,,active
CMP0052,Бюро «ХАРОН»,Зерноград,"+7 (938) 135-44-44, +7 (938) 135-22-22",kharon61@list.ru,https://haron161.ru,"ул. им. Чкалова, 19",,,,active
CMP0055,Обелискдон,Каменск-Шахтинский,+7 (909) 431-15-18,,https://obeliskdon.ru,"ул. Ворошилова, 24",,,,active
CMP0056,Памятники Красный Сулин,Красный Сулин,+7 (999) 696-28-40,,https://krasnyi-sulin.spravker.ru/pamyatniki-i-nadgrobiya,"ул. Ворошилова",,,,active
CMP0057,Памятники (Миллерово),Миллерово,+7 (961) 277-00-78,info@ritu24.ru,https://ritualnye24.ru,"ул. Тельмана, 55, г. Миллерово",,,,active
CMP0058,Ритуальные услуги,Морозовск,"+7 (903) 432-02-64, +7 (906) 421-58-08",ip_yacenko@mail.ru,https://ritualnie-uslugi-morozovsk.ru,"ул. Димитрова, 6",,,,unknown
CMP0059,Гранитная мастерская (Харьковское шоссе),Новочеркасск,+7 (903) 795-41-58,info@talkingstone.ru,https://talkingstone.ru,"Харьковское шоссе, 7Д",,,,active
CMP0061,Компас-Н (памятники),Новочеркасск,"+7 (904) 508-70-18, +7 (8635) 22-60-17",,http://kompas-rostov.ru,"ул. Московская, 70/2",https://vk.com/wall-62473384_2218065,,,active
CMP0062,Чугунный Крест (памятники),Новочеркасск,+7 (905) 453-44-44,9054534444@mail.ru,,"ул. Вавилова, 27",,,,active
CMP0064,Мастерская памятников (памятник161.рф),Новочеркасск,+7 (961) 302-08-90,,https://памятник161.рф,"Мастеровой спуск, 33",,,,active
CMP0065,Памятники и надгробия (Сарматская),Новочеркасск,+7 (904) 347-30-02,,,"Сарматская улица, 132",,,,active
CMP0066,Памятники на заказ,Новочеркасск,+7 (906) 418-57-89,granit-707@mail.ru,https://granit-61.ru,"Почтовый переулок, 24",https://vk.com/granit61,,https://wa.me/79064185789,active
CMP0068,Ритуал Память,Батайск,+7 (908) 510-35-20,,https://ritual-pamjat.clients.site,"Совхозная ул., 20а",,,,active
CMP0069,ИП Голубниченко,пос. Южный (Мартыновский р-н),+7 (863) 953-52-45,polka5555@yandex.ru,http://memorialy.ru,"ул. Оросительная, 40, оф.1",,,,active
CMP0072,Granit-Don,Ростов-на-Дону,"+7 (863) 256-63-28, +7 (928) 602-83-34",rostov@granit-don.ru,https://granit-don.ru,"ул. Текучева, 368Б",,,,active
CMP0073,Granit-Rus (Гранитная мастерская),Ростов-на-Дону,"+7 (863) 298-05-30, +7 (918) 558-05-30",zakaz@granit-rus.ru,https://granit-rus.ru,"ул. Станиславского, д. 98",https://vk.com/granitrus,,,active
CMP0075,Городское Похоронное Бюро,Ростов-на-Дону,"+7 (863) 210-20-02, +7 (908) 512-91-19",,https://ritual-bas.ru,"пр. Шолохова, 11",https://vk.com/ritual_bas,,,active
CMP0078,Гранитная мастерская «Акрополь»,Ростов-на-Дону,+7 (863) 221-25-24,info@zabvenie.net,https://zabvenie.net,(выст. зал — уточнить по тел.),,,,active
CMP0079,Ковка в Дом,Ростов-на-Дону,+7 (928) 128-68-88,damian.yug@yandex.ru,https://kovka-atlant.ru,"ул. Промышленная 8, рынок «Атлант-Плюс»",,,,active
CMP0080,Мастерская «Скала»,Ростов-на-Дону,+7 (928) 629-17-68,2421603@mail.ru,https://scala-rostov.ru,"ул. Судостроительная, 14А",,,,active
CMP0084,Похоронное бюро на Металлургической,Ростов-на-Дону,"+7 (918) 899-00-00, +7 (863) 229-92-45",,,"ул. Металлургическая, 111",https://vk.com/rostov.don61r,,https://wa.me/78632299245,active
CMP0085,Ритуал-Памятники,Ростов-на-Дону,"+7 (909) 420-42-01, +7 (909) 420-42-02", ,https://monuments.su,п. Весёлый,,,,active
CMP0086,Ритуал-Юг (Областное похоронное бюро),Ростов-на-Дону,"+7 (863) 226-17-14, +7 (863) 226-44-82",ritual-ug@yandex.ru,https://ritual-ug.ru,"проспект Шолохова, 9Б",,,,active
CMP0089,Родос,Ростов-на-Дону,+7 (863) 276-55-54,info@rodos61.ru,https://rodos61.ru,"Орбитальная улица, 1в",,,,active
CMP0093,Памятники (ул. Свободы),Сальск,+7 (800) 505-95-14,rim-ryabina@yandex.ru,https://rm-ryabina.ru,"ул. Свободы, 106",,,,active
CMP0094,Реал_Сальск,Сальск,+7 (928) 966-40-03,,,"ул. Крупской, 200",,,,active
CMP0095,Памятники Семикаракорск,Семикаракорск,"+7 (904) 345-64-85, +7 (863) 260-50-59",,https://semikarakorsk.spravker.ru/pamyatniki-i-nadgrobiya,"ул. Ленина, 12",,,,active
CMP0097,Мастерская по изготовлению памятников (Александровская),Таганрог,+7 (918) 526-86-66,,,"Александровская ул., 155",,,,active
CMP0098,МБУ Ритуал,Таганрог,+7 (863) 439-81-63,,,"ул. Яблочкина, 8/1",,,,active
CMP0099,Ритуал Камень (ИП Коренев С.Н.),Таганрог,"+7 (908) 515-62-18, +7 (961) 270-36-64",taganrog.pamyatniki@gmail.com,http://taganrog-pamyatniki.ru,"ул. Инструментальная, 11",,,https://wa.me/79085156218,active
CMP0100,Ритуал Камень,Таганрог,"+7 (908) 515-62-18, +7 (961) 270-36-64, +7 (918) 564-82-04",taganrog@ritual-kamen.ru,https://taganrog-pamyatniki.ru,Мариупольское шоссе 50-2,,,,active
CMP0101,РостГранит,Таганрог,+7 (918) 551-70-10,,https://rostgranit.taganrog.ru,"ДНТ Мирный, 4А",,,,active
CMP0102,Феникс-Стоун,Таганрог,"+7 (8634) 36-48-61, +7 (918) 556-48-61",,https://www.phoenix-stone.ru,"ул. Кузнечная, 48",,,,active
CMP0104,Компания Евгения Романовского,Шахты,+7 (800) 101-31-42,ritualmaster24@mail.ru,https://ritualmaster24.ru,(уточнить по тел.),,,,active
CMP0105,Памятники (пер. Милиционный),Шахты,+7 (960) 443-44-36,shahty@amramor.ru,https://shahty.amramor.ru,"1-й Милиционный пер., 124",,,,active
CMP0107,Памятники (ул. Маяковского),Шахты,+7 (928) 182-42-20,,,"ул. Маяковского, 1А",,,,active
CMP0108,Памятники Шахты,Шахты,"+7 (928) 755-55-52, +7 (928) 174-79-15",shahty.donmonolit@mail.ru,,"ул. Советская, 100",https://vk.com/id724177396,,,active
