id;name;city;address;phones;website;vk;ok;instagram;telegram;email;whatsapp;notes;status;completeness_score;filled_fields;priority
CMP0030;Заказ-памятников.рф (Волгодонск);Волгодонск;ул. Шлюзавская;+7 (918) 899-51-62;https://заказ-памятников.рф;;;;;;;+79188995162;Филиал.;65;['phones', 'address', 'website'];Средний
CMP0031;Мастерская памятников;Волгодонск;8-я Заводская ул., 10;;;;;;;;;Памятники, металлоизделия.;unknown;20;['address'];Критический
CMP0032;Мастерская памятников;Волгодонск;8-я Заводская ул., 10Г;;;;;;;;;Памятники, надгробия, кресты.;unknown;20;['address'];Критический
CMP0033;Мастерская памятников;Волгодонск;Жуковское ш., 24;;;;;;;;;Изготовление памятников.;unknown;20;['address'];Критический
CMP0034;Мастерская памятников;Волгодонск;Шлюзовская ул., 20;;;;;;;;;Изготовление надгробий.;unknown;20;['address'];Критический
CMP0035;Мастерская памятников;Волгодонск;Шлюзовская ул., 12Б;;;;;;;;;Памятники и надгробия.;unknown;20;['address'];Критический
CMP0036;Памятники Доверие;Волгодонск;Морская, 64;+7 989 724-30-79, +7 989 612-94-79;;https://vk.com/pamyatniki_doverie_vd;;;;;;Гранит, мрамор, оградки, столы, лавки, кресты;active;55;['phones', 'address', 'vk'];Высокий
CMP0037;ПБ Гранит;Волгодонск;;+7 918 858 91 89;;;;;;;;25 фото на Яндексе;active;30;['phones'];Критический
CMP0038;Ритуал Сервис;Волгодонск;Октябрьское шоссе, 12Л;;;;;;;;;Ритуальные услуги, памятники. Высокие отзывы.;active;20;['address'];Критический
CMP0039;Ритуальные услуги;Волгодонск;ул. Дружбы, 4А;;;;;;;;;Ритуальные услуги, надгробия.;unknown;20;['address'];Критический
CMP0040;Ритуальные услуги;Волгодонск;Морская ул., 24А;;;;;;;;;Ритуальные услуги.;unknown;20;['address'];Критический
CMP0041;Ритуальные услуги и памятники;Волгодонск;Морская ул., 66А;;;;;;;;;Ритуальные услуги, памятники.;unknown;20;['address'];Критический
CMP0042;Ритуальный магазин;Волгодонск;Октябрьское ш., 12Ж;;;;;;;;;Ритуальный магазин.;unknown;20;['address'];Критический
CMP0043;ДонМонолит (Гуково);Гуково;(уточнить);;https://donmonolit.ru;;;;;;;Филиал.;active;15;['website'];Критический
CMP0044;Донмонолит;Гуково;;;;https://vk.com/donmonolit;;;;;;ОПТовые цены от производителя;unknown;5;['vk'];Критический
CMP0045;Мир Гранита (Гуково);Гуково;(уточнить);+7 (928) 904-38-33;https://mirgranita-eternity.ru;;;;;;;+79289043833;Филиал.;45;['phones', 'website'];Высокий
CMP0046;Памятники Дон Гранит;Гуково;Шахтёрская ул., 34/4;+7 (928) 120-51-11, +7 (960) 465-31-77;;;;;;;;ежедневно, 09:00–20:00;active;50;['phones', 'address'];Высокий
CMP0047;Ритуальные услуги Феникс;Гуково;ул. Красная Горка, 2;+7 (960) 443-22-00;;;;;;;;круглосуточно;active;50;['phones', 'address'];Высокий
CMP0048;Granite161;Донецк;пр-т. Ленина, 33;+7 (901) 000-10-19, +7 (928) 609-27-11;https://granite161.ru;;;;;pamytnik-doneck@mail.ru;;;active;75;['phones', 'address', 'website', 'email'];Средний
CMP0049;X-granit;Донецк;ул. Суворова;;https://x-granit.ru;;;;;info@x-granit.ru;;;active;45;['address', 'website', 'email'];Высокий
CMP0050;ИП Бенделиани Н.Г. («Надгробные памятники»);Донецк (РО);пер. 3-ий Аварийный, 6Б || пер. 3-ий Аварийный, 6б;+79281415722, +79286111054, +79612696927;https://pamyatnik-doneck.ru;;;;;;;[База А]: Пн-Сб 09:00-17:00. Гранит, мрамор, ритуальная графика.;active;65;['phones', 'address', 'website'];Средний
CMP0051;Гранит (мастерская);Донецк (РО);(уточнить);+79281415722, +79612696927;https://pamyatnik-doneck.ru/contacts;;;;;;;Данные Яндекс.Карт.;active;45;['phones', 'website'];Высокий
CMP0052;Гранит (магазин памятников, Тимирязева);Донецк;ул. Тимирязева, 11;+7 928 765-00-00;;;;;;;;;active;50;['phones', 'address'];Высокий
CMP0053;Гранит-Экспорт;Донецк (РО);ул. Тимирязева, 25 || ул. Тимирязева, 25А;+78636827114, +79034356622, +79185234622, +79185850322;https://granit-export.ru;;;;;;;"[База А]: Производственная компания. Опт и розница; [База Б]: На рынке с 2005 г. Собственная производственная база. Гранит, мрамор, литьевой камень. Опт и розница. Доставка по РФ.";active;65;['phones', 'address', 'website'];Средний
CMP0054;ГранитДонецк;Донецк;Украинское шоссе, 25В;+7 928 765-59-66, +7 928 750-78-60;https://granitdonetsk.ru;;;;;donetsk.vyacheslav.granit@yandex.ru;;;active;75;['phones', 'address', 'website', 'email'];Средний
CMP0055;Гранитная мастерская (Цех);Донецк (РО);просп. Ленина, 47А;;;;;;;;;Данные Яндекс.Карт.;active;20;['address'];Критический
CMP0056;Гранитная мастерская Ольги;Донецк;ул. Тимирязева, 41;+7 (928) 139-23-39;https://гранитная-мастерская.рф;;;;;donstiks@mail.ru;79281392339.0;;active;80;['phones', 'address', 'website', 'email', 'whatsapp'];Средний
CMP0057;Гранитный цех Кумачёва;Донецк (РО);ул. Тимирязева, 11;+7 (86368) 2-79-90, +7 (928) 765-24-95;https://xn--94-6kcio2ao9cxb.xn--p1ai;;;;;;;Найдено при обогащении. Рейтинг 3.6. Источник: кумачев.рф, Яндекс.Карты;active;65;['website'];Средний
CMP0058;Деко-М-Дон;Донецк (РО);(уточнить);+79287796750;;;;;;;;Данные Яндекс.Карт.;active;30;['phones'];Критический
CMP0059;Диабаздон;Донецк (РО);(уточнить);+79287610090;;;;;;;;Данные Яндекс.Карт.;active;30;['phones'];Критический
CMP0060;Дон-Гранит;Донецк (РО);ул. Каменская, 77 || Украинское шоссе, 2-А;+79281205111, +79281208111;https://don-granite.ru;;;;;;;[База А]: 250+ наименований. 15+ лет. Уральский камень. Доставка по всей РФ. Гравировка.;active;65;['phones', 'address', 'website'];Средний
CMP0061;ДонМонолит;Донецк (РО);ул. Королёва, 8В;+7 (904) 349-57-35;https://donmonolit.ru;https://vk.com/donmonolit;;;;;;Найдено при обогащении. Источник: donmonolit.ru, Яндекс.Карты;active;70;['address', 'website'];Средний
CMP0062;Заказ-памятников.рф (Донецк);Донецк (РО);ул. Тимирязева;+7 (918) 899-51-62;https://заказ-памятников.рф;;;;;;;+79188995162;Филиал.;65;['phones', 'address', 'website'];Средний
CMP0063;Мастер-Монумент;Донецк (РО);(уточнить);+79001303497;https://master-monument.ru;;;;;;;Данные Яндекс.Карт.;active;45;['phones', 'website'];Высокий
CMP0064;Мир камня;Донецк (РО);(уточнить);+79612750799;;;;;;;;Данные Яндекс.Карт.;active;30;['phones'];Критический
CMP0065;Панасенко А.Е. (Памятники и надгробные комплексы);Донецк;2-й Аварийный переулок, 10;;https://panasenko-don.ru;;;;;;;;active;35;['address', 'website'];Высокий
CMP0066;Юг Гранит;Донецк (РО);(уточнить);+79284094444;;;;;;;;Данные Яндекс.Карт.;active;30;['phones'];Критический
CMP0067;ДонМонолит (Зверево);Зверево;(уточнить);;https://donmonolit.ru;;;;;;;Филиал.;active;15;['website'];Критический
CMP0068;Памятники Зверево;Зверево;;;https://ros.stonegrave.ru/page_id:zverevo;;;;;info@stonegrave.ru;;;active;25;['website', 'email'];Критический
CMP0069;TsarGranit (Зерноград);Зерноград;ул. Центральная, 4;;https://tsargranit.ru/zernograd.html;;;;;;;Найдено при обогащении. 3D моделирование, собственное производство. Источник: tsargranit.ru;active;35;['website'];Высокий
CMP0070;Бюро «ХАРОН»;Зерноград;(уточнить по сайту);8 (938) 135-44-44;https://haron161.ru;;;;;;;Собственная производственная база. Стелы, цветники, плиты, цоколи. Портреты, надписи, рисунки. Зерноград и вся РО. ⭐ ПЕРСПЕКТИВНЫЙ КЛИЕНТ.;active;45;['phones', 'website'];Высокий
CMP0071;Памятники Зерноград;Зерноград;;+79182792792;https://zernograd.ritualum.ru;;;;;;;Мемориальные комплексы под ключ;active;45;['phones', 'website'];Высокий
CMP0072;Данила-Мастер Каменск-Шахтинский;Каменск-Шахтинский;;+7 (902) 220-20-52;https://kamensk-shakhtinsky.danila-master.ru;;;;;;;;active;45;['phones', 'website'];Высокий
CMP0073;ДонМонолит (Каменск-Шахтинский);Каменск-Шахтинский;(уточнить);;https://donmonolit.ru;;;;;;;Филиал.;active;15;['website'];Критический
CMP0074;Заказ-памятников.рф (Каменск-Шахтинский);Каменск-Шахтинский;ул. Морская || Морская ул., 20;+79188995162;https://заказ-памятников.рф;;;;;;;"[База А]: +79188995162; [База Б]: круглосуточно";active;65;['phones', 'address', 'website'];Средний
CMP0075;Монумент | Юг;Каменск-Шахтинский;ул. Красная, 85А (ост. Восточная);;https://monument161.ru;;;;;;;Памятники из гранита. Работают: Каменск-Шахтинский, Гуково, Донецк, Миллерово, Белая Калитва, пос. Глубокий.;active;35;['address', 'website'];Высокий
CMP0076;Обелискдон;Каменск-Шахтинский;;+7 909 431-15-18;https://obeliskdon.ru;;;;;;;Собственное производство и цех по обработке камня;active;45;['phones', 'website'];Высокий
CMP0077;Мир Памяти (Константиновск);Константиновск;(уточнить);+7 (989) 220-10-77, 8 (800) 555-17-25;https://konstantinovsk.мирпамяти.рф;;;;+79618559078;zakaz-mirpamyati@yandex.ru;+7 (988) 240-97-47;Найдено при обогащении. Федеральная сеть. Головной офис: г. Краснодар, ул. Рашпилевская 86. Источник: мирпамяти.рф;active;65;['website'];Средний
CMP0078;Памятники Константиновск;Константиновск;;+78007077511;https://konstantinovsk.gsritual.info/%D1%80%D0%B8%D1%82%D1%83%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%B5-%D1%83%D1%81%D0%BB%D1%83%D0%B3%D0%B8/%D0%B8%D0%B7%D0%B3%D0%BE%D1%82%D0%BE%D0%B2%D0%BB%D0%B5%D0%BD%D0%B8%D0%B5-%D0%BF%D0%B0%D0%BC%D1%8F%D1%82%D0%BD%D0%B8%D0%BA%D0%BE%D0%B2;;;;;;;;active;45;['phones', 'website'];Высокий
CMP0079;ДонМонолит (Красный Сулин);Красный Сулин;(уточнить);;https://donmonolit.ru;;;;;;;Филиал.;active;15;['website'];Критический
CMP0080;Мир Памяти (Красный Сулин);Красный Сулин;(уточнить);+7 (989) 220-10-77, 8 (800) 555-17-25;https://krasniy-sulin.мирпамяти.рф;;;;+79618559078;zakaz-mirpamyati@yandex.ru;+7 (988) 240-97-47;Найдено при обогащении. Федеральная сеть. Головной офис: г. Краснодар, ул. Рашпилевская 86. Источник: мирпамяти.рф;active;65;['website'];Средний
CMP0081;Памятники Красный Сулин;Красный Сулин;;+79996962840;https://krasnyi-sulin.spravker.ru/pamyatniki-i-nadgrobiya;;;;;;;;active;45;['phones', 'website'];Высокий
CMP0082;Данила-Мастер Миллерово;Миллерово;;8 (800) 100-13-39;https://millerovo.danila-master.ru;https://vk.com/danila_pamyatniki;;;;mail@danila-master.ru;;Найдено при обогащении. Федеральная сеть. Источник: millerovo.danila-master.ru;active;60;['website'];Высокий
CMP0083;ДонМонолит (Миллерово);Миллерово;(уточнить);;https://donmonolit.ru;;;;;;;Филиал.;active;15;['website'];Критический
CMP0084;Заказ-памятников.рф (Миллерово);Миллерово;(уточнить);+7 (918) 899-51-62;https://заказ-памятников.рф;;;;;;;+79188995162;Филиал.;45;['phones', 'website'];Высокий
CMP0085;Мир Памяти (Миллерово);Миллерово;(уточнить);+7 (989) 220-10-77, 8 (800) 555-17-25;https://millerovo.мирпамяти.рф;;;;+79618559078;zakaz-mirpamyati@yandex.ru;+7 (988) 240-97-47;Найдено при обогащении. Федеральная сеть. Головной офис: г. Краснодар, ул. Рашпилевская 86. Источник: мирпамяти.рф;active;65;['website'];Средний
CMP0086;Памятники (Миллерово);Миллерово;;+7 961 277-00-78;https://ritualnye24.ru;;;;;;;;active;45;['phones', 'website'];Высокий
CMP0087;Ритуалум Миллерово;Миллерово;центральное кладбище;+7 918 279-27-92;https://millerovo.ritualum.ru;;;;;;;;active;65;['phones', 'address', 'website'];Средний
CMP0088;ДонМонолит (Морозовск);Морозовск;(уточнить);;https://donmonolit.ru;;;;;;;Филиал.;active;15;['website'];Критический
CMP0089;Мир Памяти (Морозовск);Морозовск;(уточнить);+7 (989) 220-10-77, 8 (800) 555-17-25;https://morozovsk.мирпамяти.рф;;;;+79618559078;zakaz-mirpamyati@yandex.ru;+7 (988) 240-97-47;Найдено при обогащении. Федеральная сеть. Головной офис: г. Краснодар, ул. Рашпилевская 86. Источник: мирпамяти.рф;active;65;['website'];Средний
CMP0090;Памятники Морозовск;Морозовск;;+79034603061;https://donmonolit.ru/morozovsk.html;;;;;;;;active;45;['phones', 'website'];Высокий
CMP0091;Ритуальные услуги;Морозовск;ул. Димитрова, 6;;;;;;;;;Ритуальные услуги. Данные справочника.;unknown;20;['address'];Критический
CMP0092;Гранитная мастерская (Харьковское шоссе);Новочеркасск;Харьковское шоссе, 7Д;;https://talkingstone.ru;;;;;;;;active;35;['address', 'website'];Высокий
CMP0093;Данила-Мастер Новочеркасск;Новочеркасск;;+7 (863) 308-24-59, +7 (902) 220-20-52;https://novocherkassk.danila-master.ru;;;;;;;;active;45;['phones', 'website'];Высокий
CMP0094;ДонМонолит (Новочеркасск);Новочеркасск;(уточнить);;https://donmonolit.ru;;;;;;;Филиал.;active;15;['website'];Критический
CMP0095;Заказ-памятников.рф (Новочеркасск);Новочеркасск;ул. Ростовский выезд;+7 (918) 899-51-62;https://заказ-памятников.рф;;;;;;;+79188995162;Филиал.;65;['phones', 'address', 'website'];Средний
CMP0096;Компания (памятники);Новочеркасск;ул. Транспортная, 2в;;;;;;;;;Данные 2ГИС. +2 филиала.;unknown;20;['address'];Критический
CMP0097;Компания (памятники);Новочеркасск;ул. Вавилова, 27;;;;;;;;;Данные 2ГИС. +2 филиала.;unknown;20;['address'];Критический
CMP0098;Компания (памятники);Новочеркасск;ул. Московская, 70;;;;;;;;;Данные 2ГИС.;unknown;20;['address'];Критический
CMP0099;Компания (памятники);Новочеркасск;ул. Сарматская, 132;;;;;;;;;Данные 2ГИС.;unknown;20;['address'];Критический
CMP0100;Компания (памятники);Новочеркасск;ул. Ростовский выезд, 58;;;;;;;;;Данные 2ГИС.;unknown;20;['address'];Критический
CMP0101;Компания (памятники);Новочеркасск;ул. Бабушкина, 63;;;;;;;;;Данные 2ГИС. +2 филиала.;unknown;20;['address'];Критический
CMP0102;Компания (памятники);Новочеркасск;ул. Бердичевского, 9;;;;;;;;;Изготовление из гранита. Данные 2ГИС.;unknown;20;['address'];Критический
CMP0103;Мастерская памятников (памятник161.рф);Новочеркасск;Мастеровой спуск, 33;+7 961 302 08 90;https://памятник161.рф;;;;;;;"пн-пт 8:00-17:00; сб 9:00-16:00";active;65;['phones', 'address', 'website'];Средний
CMP0104;Памятники и надгробия (Сарматская);Новочеркасск;Сарматская улица, 132;+7 904 347 30 02;;;;;;;;;active;50;['phones', 'address'];Высокий
CMP0105;Памятники на заказ;Новочеркасск;Почтовый переулок, 24;+7 906 418 57 89;;;;;;;;;active;50;['phones', 'address'];Высокий
CMP0106;Ритуалум;Новочеркасск;;;https://novocherkassk.ritualum.ru;;;;;;;Крупнейший изготовитель памятников;active;15;['website'];Критический
CMP0107;Салон по изготовлению памятников на заказ;Новочеркасск;ул. Гагарина, 108г/1;;;;;;;;;Пн-пт: 08:00 - 16:00;unknown;20;['address'];Критический
CMP0108;ДонМонолит (Новошахтинск);Новошахтинск;(уточнить);;https://donmonolit.ru;;;;;;;Филиал.;active;15;['website'];Критический
CMP0109;Мир Гранита (Новошахтинск);Новошахтинск;(уточнить);+7 (928) 904-38-33;https://mirgranita-eternity.ru;;;;;;;+79289043833;Филиал.;45;['phones', 'website'];Высокий
CMP0110;Ритуал Память;Новошахтинск;Совхозная улица;;;;;;;;;;unknown;20;['address'];Критический
CMP0111;ИП Голубниченко;пос. Южный (Мартыновский р-н);ул. Оросительная, 40, оф.1;+7 (86395) 3-52-45;http://memorialy.ru;;;;;;;Памятники и надгробия, ритуальные услуги.;active;65;['phones', 'address', 'website'];Средний
CMP0112;Мир Памяти (Пролетарск);Пролетарск;(уточнить);+7 (989) 220-10-77, 8 (800) 555-17-25;https://proletarsk.мирпамяти.рф;;;;+79618559078;zakaz-mirpamyati@yandex.ru;+7 (988) 240-97-47;Найдено при обогащении. Федеральная сеть. Головной офис: г. Краснодар, ул. Рашпилевская 86. Источник: мирпамяти.рф;active;65;['website'];Средний
CMP0113;Памятники Пролетарск;Пролетарск;;;https://ros.stonegrave.ru/page_id:proletarsk;;;;;;;;active;15;['website'];Критический
CMP0114;Мир Гранита;Ростов-на-Дону / Шахты / Новошахтинск / Гуково;(уточнить);+7 (928) 904-38-33;https://mirgranita-eternity.ru;;;;;;;+79289043833;Памятники любой сложности. WhatsApp/Viber. Ростовская и Волгоградская обл.;45;['phones', 'website'];Высокий
CMP0115;Granit-Don;Ростов-на-Дону;ул. Текучева, 368Б;+7 (863) 256-63-28, +7 (928) 602-83-34;https://granit-don.ru;;;;;;;Изготовление и установка памятников из гранита, мрамора, полигранита.;active;65;['phones', 'address', 'website'];Средний
CMP0116;Granit-Rus (Гранитная мастерская);Ростов-на-Дону;ул. Станиславского, д. 98;;;;;;;;;;unknown;20;['address'];Критический
CMP0117;Ritual-Regions;Ростов-на-Дону;(уточнить);;https://ritual-regions.ru;;;;;;;Памятники из мрамора и гранита. Покрытие: 18+ городов РО вкл. Пролетарск, Семикаракорск, Цимлянск, Константиновск.;active;15;['website'];Критический
CMP0118;Stone House;Ростов-на-Дону;(уточнить);+78633220366, +78633220363;;;;;;stone_house@bk.ru;;Рейтинг 4.8 на BLIZKO. Гранитные и мраморные памятники.;active;40;['phones', 'email'];Высокий
CMP0119;Городское Похоронное Бюро;Ростов-на-Дону;;+7 (863) 210-20-02, +7 908 512-91-19;https://ritual-bas.ru;;;;;;;;active;45;['phones', 'website'];Высокий
CMP0120;Гранит Памяти;Ростов-на-Дону;;8 (800) 700-43-42;https://rostov-na-donu.granit-pamyati.ru;;;;;;;;active;45;['phones', 'website'];Высокий
CMP0121;ГранитКМ;Ростов-на-Дону;ул. Мечникова, 37;+7 (863) 279-71-00;;;;;;;;;active;50;['phones', 'address'];Высокий
CMP0122;Гранитная мастерская (pamyatnik-i.ru);Ростов-на-Дону;ул. Особенная, д. 11 || (офис в Ростове-на-Дону);+79612867473;https://pamyatnik-i.ru;;;;@Ma_ryska;pamyatnik-i@mail.ru;79612867473.0;"[База А]: ИП Василига Иван Иванович; [База Б]: Памятники из гранита, установка под ключ. Собственное производство. Обслуживание в офисе и онлайн.";active;85;['phones', 'address', 'website', 'email', 'telegram', 'whatsapp'];Низкий
CMP0123;Гранитная мастерская (Неклиновская);Ростов-на-Дону;Неклиновская улица, 45в;;;;;;;;;Рейтинг 2.3;unknown;20;['address'];Критический
CMP0124;Гранитная мастерская «Акрополь»;Ростов-на-Дону;(выст. зал — уточнить по тел.);+7 (863) 221-25-24;https://zabvenie.net;;;;;;;+79034012524;Установка: РнД, Новочеркасск, Батайск, Таганрог, Сальск, Шахты. Гарантия 5 лет. WhatsApp: +79034012524. Вт-Сб 10-17, Вс 10-15.;65;['phones', 'address', 'website'];Средний
CMP0125;Данила-Мастер (Ростов-на-Дону);Ростов-на-Дону;ул. Добровольского, 15;;https://rnd.danila-master.ru;;;;;;;Федеральная сеть, 48 офисов в 33 городах. Собственное производство с 1997 г. Гарантия 25 лет. 900+ моделей.;active;35;['address', 'website'];Высокий
CMP0126;Данила-Мастер;Ростов-на-Дону;ул. Тельмана, 12/61;+7 (863) 308-24-59, +7 (902) 220-20-52;https://rnd.danila-master.ru;;;;;;;Архитектурная мастерская памяти;active;65;['phones', 'address', 'website'];Средний
CMP0127;Заказ-памятников.рф;Ростов-на-Дону;пр. Нефтяной;+7 (918) 899-51-62;https://заказ-памятников.рф;;;;;info@заказ-памятников.рф;;+79188995162;Крупнейший производитель в РнД, 20+ лет. Рассрочка. 11 филиалов по РО.;75;['phones', 'address', 'website', 'email'];Средний
CMP0128;Изготовление памятников (Судостроительная);Ростов-на-Дону;Судостроительная улица, 14-А;;;;;;;;;Памятник из мрамора от 6900 руб;unknown;20;['address'];Критический
CMP0129;Изготовление памятников (Таганрогская);Ростов-на-Дону;Таганрогская улица, 138;;;;;;;;;;unknown;20;['address'];Критический
CMP0130;Ковка в Дом;Ростов-на-Дону;(уточнить);+79281286888;;;;;;;;Рейтинг 4.2 на BLIZKO. Каркасы, стальные памятники.;active;30;['phones'];Критический
CMP0131;Мастерская «Скала»;Ростов-на-Дону;ул. Судостроительная, 14А;+79286291768;https://www.scala-rostov.ru;;;;;;;"[База А]: Гарантия 5 лет. Гранит, мрамор, габбро. Установка: Северное и Ростовское кладбища.; [База Б]: Много моделей стандартных памятников";active;65;['phones', 'address', 'website'];Средний
CMP0132;Мастерская гранита;Ростов-на-Дону;(уточнить);+79612867473;;;;;;pamyatnik-i@mail.ru;;Рейтинг 4.0 на BLIZKO. Мрамор, гранит.;active;40;['phones', 'email'];Высокий
CMP0133;Мемориал Дон;Ростов-на-Дону;ул. Белорусская, 119;;;;;;;;;Рейтинг 5.0 на 2ГИС. 2 филиала.;active;20;['address'];Критический
CMP0134;Мемориал Дон;Ростов-на-Дону;Будённовский проспект, 61;;;;;;;;;Похоронное бюро, 98 оценок;unknown;20;['address'];Критический
CMP0135;Обелиск 61;Ростов-на-Дону;ул. Неклиновская, 45в;+7 (967) 555-11-78;https://obelisk61.ru;;;;;;;Собственный цех. 9 городов РО: Азов, Волгодонск, Каменск-Шахтинский, Новочеркасск, Гуково, Новошахтинск, Батайск, Сальск, Шахты.;active;65;['phones', 'address', 'website'];Средний
CMP0136;Помни Всегда;Ростов-на-Дону;;;https://rostov-na-donu.pomnivsegda.ru;;;;;;;;active;15;['website'];Критический
CMP0137;Похоронное бюро на Металлургической;Ростов-на-Дону;ул. Металлургическая, 112/64;+7 (918) 899-00-00;;;;;;;;;active;50;['phones', 'address'];Высокий
CMP0138;Ритуал-Памятники;Ростов-на-Дону;п. Весёлый;;https://monuments.su;;;;;;;Изготовление памятников, благоустройство могил;active;35;['address', 'website'];Высокий
CMP0139;Ритуал-Юг (Областное похоронное бюро);Ростов-на-Дону;;;https://ritual-ug.ru;;;;;;;Изготовление гранитных и мраморных памятников;active;15;['website'];Критический
