id;name;city;address;phones;website;vk;ok;instagram;telegram;email;whatsapp;notes;status
CMP0033;Дон-Гранит;Донецк;Украинское шоссе, 2-А;+7 (928) 120-81-11, +7 (928) 120-51-11;https://don-granite.ru;;;;;;;;active
CMP0034;Надгробные памятники (ИП Бенделиани Н.Г.);Донецк;пер. 3-ий Аварийный, 6б;+7 (928) 141-57-22, +7 (961) 269-69-27;https://pamyatnik-doneck.ru;;;;;;;;active
CMP0035;Панасенко А.Е. (Памятники и надгробные комплексы);Донецк;2-й Аварийный переулок, 10;;https://panasenko-don.ru;;;;;;;;active
CMP0036;Памятники Зверево;Зверево;;;;;;;;;;;unknown
CMP0037;Памятники Зерноград;Зерноград;;;;;;;;;;Мемориальные комплексы под ключ;unknown
CMP0038;Данила-Мастер Каменск-Шахтинский;Каменск-Шахтинский;;+7 (902) 220-20-52;https://kamensk-shakhtinsky.danila-master.ru;;;;;;;;active
CMP0039;Обелискдон;Каменск-Шахтинский;;+7 909 431-15-18;https://obeliskdon.ru;;;;;;;Собственное производство и цех по обработке камня;active
CMP0040;Памятники (Морская ул.);Каменск-Шахтинский;Морская ул., 20;+7 (918) 899-51-62;;;;;;;;круглосуточно;active
CMP0041;Памятники Константиновск;Константиновск;;;;;;;;;;;unknown
CMP0042;Памятники Красный Сулин;Красный Сулин;;;;;;;;;;;unknown
CMP0043;Данила-Мастер Миллерово;Миллерово;;;https://millerovo.danila-master.ru;;;;;;;;active
CMP0044;Памятники (Миллерово);Миллерово;;+7 961 277-00-78;https://ritualnye24.ru;;;;;;;;active
CMP0045;Ритуалум Миллерово;Миллерово;центральное кладбище;+7 918 279-27-92;https://millerovo.ritualum.ru;;;;;;;;active
CMP0046;Памятники Морозовск;Морозовск;;;;;;;;;;;unknown
CMP0047;Гранитная мастерская (Харьковское шоссе);Новочеркасск;Харьковское шоссе, 7Д;;https://talkingstone.ru;;;;;;;;active
CMP0048;Данила-Мастер Новочеркасск;Новочеркасск;;+7 (863) 308-24-59, +7 (902) 220-20-52;https://novocherkassk.danila-master.ru;;;;;;;;active
CMP0049;Мастерская памятников (памятник161.рф);Новочеркасск;Мастеровой спуск, 33;+7 961 302 08 90;https://памятник161.рф;;;;;;;"пн-пт 8:00-17:00; сб 9:00-16:00";active
CMP0050;Памятники и надгробия (Сарматская);Новочеркасск;Сарматская улица, 132;+7 904 347 30 02;;;;;;;;;active
CMP0051;Памятники на заказ;Новочеркасск;Почтовый переулок, 24;+7 906 418 57 89;;;;;;;;;active
CMP0052;Ритуалум;Новочеркасск;;;https://novocherkassk.ritualum.ru;;;;;;;Крупнейший изготовитель памятников;active
CMP0053;Салон по изготовлению памятников на заказ;Новочеркасск;ул. Гагарина, 108г/1;;;;;;;;;Пн-пт: 08:00 - 16:00;unknown
CMP0054;Ритуал Память;Новошахтинск;Совхозная улица;;;;;;;;;;unknown
CMP0055;Памятники Пролетарск;Пролетарск;;;;;;;;;;;unknown
CMP0056;Granit-Rus (Гранитная мастерская);Ростов-на-Дону;ул. Станиславского, д. 98;;;;;;;;;;unknown
CMP0057;Scala (Скала);Ростов-на-Дону;;;https://www.scala-rostov.ru;;;;;;;Много моделей стандартных памятников;active
CMP0058;Городское Похоронное Бюро;Ростов-на-Дону;;+7 (863) 210-20-02, +7 908 512-91-19;https://ritual-bas.ru;;;;;;;;active
CMP0059;Гранит Памяти;Ростов-на-Дону;;8 (800) 700-43-42;https://rostov-na-donu.granit-pamyati.ru;;;;;;;;active
CMP0060;ГранитКМ;Ростов-на-Дону;ул. Мечникова, 37;+7 (863) 279-71-00;;;;;;;;;active
CMP0061;Гранитная мастерская;Ростов-на-Дону;ул. Особенная, д. 11;+7-961-286-74-73;https://pamyatnik-i.ru;;;;@Ma_ryska;pamyatnik-i@mail.ru;+79612867473;ИП Василига Иван Иванович;active
CMP0062;Гранитная мастерская (Неклиновская);Ростов-на-Дону;Неклиновская улица, 45в;;;;;;;;;Рейтинг 2.3;unknown
CMP0063;Данила-Мастер;Ростов-на-Дону;ул. Тельмана, 12/61;+7 (863) 308-24-59, +7 (902) 220-20-52;https://rnd.danila-master.ru;;;;;;;Архитектурная мастерская памяти;active
CMP0064;Изготовление памятников (Судостроительная);Ростов-на-Дону;Судостроительная улица, 14-А;;;;;;;;;Памятник из мрамора от 6900 руб;unknown
CMP0065;Изготовление памятников (Таганрогская);Ростов-на-Дону;Таганрогская улица, 138;;;;;;;;;;unknown
CMP0066;Мемориал Дон;Ростов-на-Дону;Будённовский проспект, 61;;;;;;;;;Похоронное бюро, 98 оценок;unknown
CMP0067;Помни Всегда;Ростов-на-Дону;;;https://rostov-na-donu.pomnivsegda.ru;;;;;;;;active
CMP0068;Похоронное бюро на Металлургической;Ростов-на-Дону;ул. Металлургическая, 112/64;+7 (918) 899-00-00;;;;;;;;;active
CMP0069;Ритуал-Памятники;Ростов-на-Дону;п. Весёлый;;https://monuments.su;;;;;;;Изготовление памятников, благоустройство могил;active
CMP0070;Ритуал-Юг (Областное похоронное бюро);Ростов-на-Дону;;;https://ritual-ug.ru;;;;;;;Изготовление гранитных и мраморных памятников;active
CMP0071;Родос;Ростов-на-Дону;Орбитальная улица, 1в;+7 (863) 276-55-54;https://rodos61.ru;;;;;info@rodos61.ru;;Производственное предприятие;active
CMP0072;Гранит Мрамор;Сальск;Тихорецкая улица, 1Е;+7 909 402 59 99;;;;;;;;;active
CMP0073;Изготовление памятников (Клиновая ул.);Сальск;Клиновая ул., 2;+7 (909) 402-59-99;;;;;;;;;active
CMP0074;Памятники (ул. Садовая);Сальск;ул. Садовая, 5;;;;;;;;;;unknown
CMP0075;Памятники (ул. Свободы);Сальск;ул. Свободы, 106;8-800-505-95-14;;;;;;;;;active
CMP0076;Памятники Грааль;Сальск;ул. Николая Островского, 100;;;;;;;;;;unknown
CMP0077;Реал_Сальск;Сальск;ул. Крупской, 200;+7 (928) 966-40-03;;;;;;;;;active
CMP0078;Памятники Семикаракорск;Семикаракорск;;;;;;;;;;;unknown
CMP0079;Империя гранита;Таганрог;ул. Пархоменко, 7-20;;;;;;;;;;unknown
CMP0080;Мастерская по изготовлению памятников (Александровская);Таганрог;Александровская ул., 155;+7 (918) 526-86-66;;;;;;;;"пн-пт 09:00–18:00; сб 09:00–14:00";active
CMP0081;Мастерская по изготовлению памятников (Дзержинского);Таганрог;ул. Дзержинского, 128;;;;;;;;;;unknown
CMP0082;Мастерская по изготовлению памятников (Мариупольское шоссе);Таганрог;Мариупольское шоссе, 34 ДНТ Восход, д.13;;;;;;;;;;unknown
CMP0083;Маштак;Таганрог;ул. Чехова, 320-2;;;;;;;;;;unknown
CMP0084;Ритуал Камень;Таганрог;Мариупольское шоссе 50-2;+7 908 515-62-18, +7 961 270-36-64, +7 918 564-82-04;https://taganrog-pamyatniki.ru;;;;;taganrog@ritual-kamen.ru;;Срок изготовления - 1 месяц. Гарантия – 1 год;active
CMP0085;РостГранит;Таганрог;ДНТ Мирный, 4А;+7 918 551 70 10;https://rostgranit.taganrog.ru;;;;;;;Собственная мастерская, 18 отзывов;active
CMP0086;Памятники (Весенний пер.);Цимлянск;Весенний пер., 2;+7 (86391) 2-72-01;;;;;;;;;active
CMP0087;Памятники Цимлянск (Гранит);Цимлянск;Московская ул., 37/19;+7 918 858 91 89;;;;;;;;Рейтинг 4.4. пн-пт 08:00–18:00;active
CMP0088;Приют;Цимлянск;Социалистическая ул., 51В/4Б;;;;;;;;;;unknown
CMP0089;Всегда помним;Шахты;ул. Шевченко, 161;+7 (938) 161-70-70;;;;;;;;"пн-пт 09:00–18:00; сб,вс 10:00–17:00";active
CMP0090;Гранит мрамор искусственный камень;Шахты;Советская ул., 153;;;;;;;;;ежедневно, 09:00–18:00;unknown
CMP0091;Памятники (1-й Милиционный пер.);Шахты;1-й Милиционный пер., 181;;;;;;;;;ежедневно, 09:00–18:00;unknown
CMP0092;Памятники (Советская ул.);Шахты;Советская улица, 93;;;;;;;;;;unknown
CMP0093;Памятники (пер. Милиционный);Шахты;1-й Милиционный пер., 124;+7 (960) 443-44-36;;;;;;;;;active
CMP0094;Памятники (ул. Ленина);Шахты;ул. Ленина, 108;+7 918 509 24 75;;;;;;;;Ритуальные услуги, 6 отзывов;active
CMP0095;Памятники (ул. Маяковского);Шахты;ул. Маяковского, 1А;+7 928 182 42 20;;;;;;;;108 фото на Яндексе;active
CMP0096;Памятники Шахты;Шахты;;+7 928 755-55-52;;;;https://www.instagram.com/pamyatniki.shakhty;;;;Опт и розница. Портреты ручной работы;active
