"company","city","region","telegram_url","telegram_username","phone","source","type"
"Данила-Мастер (Краснодарский филиал)","Краснодар","krasnodar","https://t.me/+79022202052","@danila_master","8 (800) 100-13-39","danila-master.ru","Единый для сети"
"Мир Гранита26","Ставрополь","stavropol","https://t.me/mir_granita26","@mir_granita26","+7 (962) 442-08-88","mir-granita26.ru","Канал"
"Мир Гранита26 (доп)","Ставрополь","stavropol","https://t.me/Pamyatniki_mirgranita26","@Pamyatniki_mirgranita26","+7 (962) 442-08-88","mir-granita26.ru","Канал"
"Ритуал","Ставрополь","stavropol","https://t.me/+79188883333","@ritual_stavropol","+7 (918) 888-33-33","stawritual.ru","Прямая ссылка"
"Ритуальная Служба","Ставрополь","stavropol","https://t.me/StavKost","@StavKost","+7 (8652) 94-47-77","stavropol.rf200.ru","Канал"
"Ритуальная Служба (бот)","Ставрополь","stavropol","https://t.me/RF200_bot","@RF200_bot","+7 (8652) 94-47-77","stavropol.rf200.ru","Бот"
"Мастерская Люлин В.В.","Ставрополь","stavropol","https://t.me/borchik26","@borchik26","+7 (906) 479-20-70","masterskaya-granita.ru","Личный (Андрей)"
"РСБ","Пятигорск","stavropol","https://t.me/RSB_pyatigorsk","@RSB_pyatigorsk","Не указан","ВКонтакте","Канал"
"Данила-Мастер (Пятигорск)","Пятигорск","stavropol","https://t.me/+79022202052","@danila_master","8 (800) 100-13-39","pyatigorsk.danila-master.ru","Единый для сети"
"Гранит-Волга","Волгоград","volgograd","https://t.me/+79173389320","@granit_volga34","+7 (917) 338-93-20","granit-volga34.ru","Прямая ссылка"
"Радоница","Волгоград","volgograd","https://t.me/ritualradonica","@ritualradonica","+7 (902) 363-26-57","ritual-volgograd.ru","Канал"
"Ваятель","Волгоград","volgograd","https://t.me/v_granit_office","@v_granit_office","+7 (8442) 57-04-44","ВКонтакте","Канал"
"Роскамень","Волгоград","volgograd","https://t.me/Roskamen","@Roskamen","+7 (960) 890-52-00","izgotovlenie-pamyatnika.ru","Канал"
"Курган 34","Волгоград","volgograd","https://t.me/tatyana_petrenko72","@tatyana_petrenko72","+7 (988) 001-21-36","kurgan-34.ru","Личный (Татьяна)"
"Данила-Мастер (Саратов)","Саратов","saratov","https://t.me/79022202052","@danila_master","8(800)100-53-63","saratov.danila-master.ru","Единый для сети"
"Гранитный Ангел","Саратов","saratov","https://t.me/granitangel64","@granitangel64","+7 (917) 329-95-46","granitangel64.ru","Канал"
"Сила Гранита","Саратов","saratov","https://t.me/SilaGranita","@SilaGranita","+7 (917) 214-22-92","sila-granita.ru","Канал"
"Эвлитос","Саратов","saratov","https://t.me/evlitos","@evlitos","+7 (903) 955-81-17","saratov.evlitos.ru","Канал"
"Гранит Памяти","Саратов","saratov","https://t.me/+79033860510","@granit_pamyati_saratov","+7 (967) 806-61-53","saratov.granit-pamyati.ru","Прямая ссылка"
"Акрополь","Астрахань","astrakhan","https://t.me/akropol30","@akropol30","+7 (917) 177-35-67","akropol30.ru","Канал"
"Данила-Мастер (Астрахань)","Астрахань","astrakhan","https://t.me/+79022202052","@danila_master","8 (800) 100-13-39","danila-master.ru","Единый для сети"
"Зодиак","Астрахань","astrakhan","https://t.me/managergravescare","@managergravescare","+7 (995) 577-52-22","зодиак30.рф","Менеджер"
"Ангел Стоунхаус","Нариманов","astrakhan","https://t.me/+79093767069","@angel_stonehouse","+7 (909) 376-70-69","ангел30.рф","Прямая ссылка"
